corner,offset_fs,final_q,resolution_ns
ss,-1000.00,1.0000,0.3061
ss,-500.00,1.0000,0.3661
ss,-200.00,1.0000,0.4656
ss,-100.00,1.0000,0.5526
ss,-50.00,1.0000,0.6441
ss,-20.00,1.0000,0.7686
ss,-10.00,1.0000,0.8641
ss,-5.00,1.0000,0.9606
ss,-2.00,1.0000,1.0896
ss,-1.00,1.0000,1.1896
ss,+1.00,0.0000,1.3761
ss,+2.00,0.0000,1.2836
ss,+5.00,0.0000,1.1591
ss,+10.00,0.0000,1.0646
ss,+20.00,0.0000,0.9701
ss,+50.00,0.0000,0.8471
ss,+100.00,0.0000,0.7556
ss,+200.00,0.0000,0.6666
ss,+500.00,0.0000,0.5536
ss,+1000.00,0.0000,0.4726
