corner,offset_fs,final_q,resolution_ns
ss,-1000.00,1.0000,0.2702
ss,-500.00,1.0000,0.3315
ss,-200.00,1.0000,0.4326
ss,-100.00,1.0000,0.5204
ss,-50.00,1.0000,0.6122
ss,-20.00,1.0000,0.7362
ss,-10.00,1.0000,0.8307
ss,-5.00,1.0000,0.9254
ss,-2.00,1.0000,1.0494
ss,-1.00,1.0000,1.1404
ss,+1.00,0.0000,1.3622
ss,+2.00,0.0000,1.2605
ss,+5.00,0.0000,1.1308
ss,+10.00,0.0000,1.0346
ss,+20.00,0.0000,0.9396
ss,+50.00,0.0000,0.8155
ss,+100.00,0.0000,0.7237
ss,+200.00,0.0000,0.6342
ss,+500.00,0.0000,0.5206
ss,+1000.00,0.0000,0.4388
