corner,offset_fs,final_q,resolution_ns
tt,-1000.00,1.0000,0.1060
tt,-500.00,1.0000,0.1255
tt,-200.00,1.0000,0.1597
tt,-100.00,1.0000,0.1900
tt,-50.00,1.0000,0.2211
tt,-20.00,1.0000,0.2601
tt,-10.00,1.0000,0.2890
tt,-5.00,1.0000,0.3171
tt,-2.00,1.0000,0.3585
tt,-1.00,1.0000,0.3880
tt,+1.00,0.0000,0.4674
tt,+2.00,0.0000,0.4342
tt,+5.00,0.0000,0.3913
tt,+10.00,0.0000,0.3598
tt,+20.00,0.0000,0.3284
tt,+50.00,0.0000,0.2883
tt,+100.00,0.0000,0.2582
tt,+200.00,0.0000,0.2294
tt,+500.00,0.0000,0.1920
tt,+1000.00,0.0000,0.1634
